GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV,PLAYER_ID,PLAYER_NAME
"Apr 13, 2025",NYK @ BKN,W,33,18,9,2,2,0,2,1630173,Precious Achiuwa
"Apr 11, 2025",NYK vs. CLE,L,15,0,6,0,2,1,1,1630173,Precious Achiuwa
"Apr 10, 2025",NYK @ DET,L,40,18,10,3,2,3,0,1630173,Precious Achiuwa
"Apr 05, 2025",NYK @ ATL,W,25,6,3,0,0,2,1,1630173,Precious Achiuwa
"Apr 02, 2025",NYK @ CLE,L,21,13,6,1,1,2,0,1630173,Precious Achiuwa
"Apr 01, 2025",NYK vs. PHI,W,27,2,9,1,1,1,2,1630173,Precious Achiuwa
"Mar 30, 2025",NYK vs. POR,W,11,10,2,0,0,0,2,1630173,Precious Achiuwa
"Mar 28, 2025",NYK @ MIL,W,6,0,2,0,0,0,0,1630173,Precious Achiuwa
"Mar 26, 2025",NYK vs. LAC,L,8,6,3,0,0,0,0,1630173,Precious Achiuwa
"Mar 25, 2025",NYK vs. DAL,W,20,11,2,2,2,1,2,1630173,Precious Achiuwa
"Mar 22, 2025",NYK vs. WAS,W,12,4,5,2,0,0,1,1630173,Precious Achiuwa
"Mar 20, 2025",NYK @ CHA,L,17,2,6,0,1,0,2,1630173,Precious Achiuwa
"Mar 19, 2025",NYK @ SAS,L,7,4,2,0,0,0,0,1630173,Precious Achiuwa
"Mar 17, 2025",NYK vs. MIA,W,10,4,3,0,0,0,0,1630173,Precious Achiuwa
"Mar 15, 2025",NYK @ GSW,L,10,0,1,0,1,0,1,1630173,Precious Achiuwa
"Mar 12, 2025",NYK @ POR,W,9,0,2,0,0,0,0,1630173,Precious Achiuwa
"Mar 10, 2025",NYK @ SAC,W,5,2,0,0,0,0,0,1630173,Precious Achiuwa
"Mar 07, 2025",NYK @ LAC,L,16,9,5,2,0,1,0,1630173,Precious Achiuwa
"Mar 04, 2025",NYK vs. GSW,L,30,8,15,0,0,1,0,1630173,Precious Achiuwa
"Feb 28, 2025",NYK @ MEM,W,4,3,1,0,0,0,0,1630173,Precious Achiuwa
"Feb 26, 2025",NYK vs. PHI,W,31,7,6,2,0,4,2,1630173,Precious Achiuwa
"Feb 23, 2025",NYK @ BOS,L,15,0,1,3,0,0,1,1630173,Precious Achiuwa
"Feb 21, 2025",NYK @ CLE,L,28,7,10,1,0,0,1,1630173,Precious Achiuwa
"Feb 20, 2025",NYK vs. CHI,W,46,11,9,0,3,0,1,1630173,Precious Achiuwa
"Feb 12, 2025",NYK vs. ATL,W,42,26,8,1,1,2,0,1630173,Precious Achiuwa
"Feb 11, 2025",NYK @ IND,W,33,9,12,2,0,1,1,1630173,Precious Achiuwa
"Feb 08, 2025",NYK vs. BOS,L,33,3,4,2,0,0,0,1630173,Precious Achiuwa
"Feb 04, 2025",NYK @ TOR,W,36,17,8,2,3,2,3,1630173,Precious Achiuwa
"Feb 03, 2025",NYK vs. HOU,W,34,7,9,0,2,0,0,1630173,Precious Achiuwa
"Feb 01, 2025",NYK vs. LAL,L,29,15,15,3,1,0,1,1630173,Precious Achiuwa
"Jan 29, 2025",NYK vs. DEN,W,26,8,3,0,1,0,1,1630173,Precious Achiuwa
"Jan 27, 2025",NYK vs. MEM,W,20,14,3,1,4,2,1,1630173,Precious Achiuwa
"Jan 25, 2025",NYK vs. SAC,W,18,4,5,0,2,1,0,1630173,Precious Achiuwa
"Jan 21, 2025",NYK @ BKN,W,18,11,4,1,1,0,1,1630173,Precious Achiuwa
"Jan 20, 2025",NYK vs. ATL,W,17,2,5,2,2,0,1,1630173,Precious Achiuwa
"Jan 17, 2025",NYK vs. MIN,L,36,6,9,3,1,3,0,1630173,Precious Achiuwa
"Jan 15, 2025",NYK @ PHI,W,30,10,6,1,1,3,1,1630173,Precious Achiuwa
"Jan 13, 2025",NYK vs. DET,L,10,0,4,1,1,0,0,1630173,Precious Achiuwa
"Jan 12, 2025",NYK vs. MIL,W,15,4,3,1,2,0,0,1630173,Precious Achiuwa
"Jan 10, 2025",NYK vs. OKC,L,6,2,1,0,0,0,0,1630173,Precious Achiuwa
"Jan 08, 2025",NYK vs. TOR,W,15,6,4,1,0,1,0,1630173,Precious Achiuwa
"Jan 06, 2025",NYK vs. ORL,L,22,10,2,0,0,0,1,1630173,Precious Achiuwa
"Jan 04, 2025",NYK @ CHI,L,27,5,5,0,1,0,1,1630173,Precious Achiuwa
